pair_id,ticker_y,ticker_x,pvalue,tstat,discovery_half_life,n_is_bars,is_end,eligible,pool
GOOGL|GOOG,GOOGL,GOOG,0.0961592667896321,-3.0621571178134874,18.69999938331675,4374,2021-12-31,True,alphabet
FOX|FOXA,FOX,FOXA,0.6529931452462912,-1.7514449007304207,17.398218562435847,709,2021-12-31,True,fox
NWS|NWSA,NWS,NWSA,0.008504441769551493,-3.948056041712026,12.148160042265284,2151,2021-12-31,True,news_corp
UA|UAA,UA,UAA,0.07486974825699128,-3.1712445527524435,12.707081453623939,1456,2021-12-31,True,under_armour
BF.B|BF.A,BF.B,BF.A,0.07305206916493462,-3.1816409999998982,11.029158893008525,8064,2021-12-31,True,brown_forman
LEN.B|LEN,LEN.B,LEN,0.29381088857164805,-2.4670061854976586,14.306123940334976,4708,2021-12-31,True,lennar
HEI|HEI.A,HEI,HEI.A,0.0004156281829174929,-4.776173247364017,15.600349569705383,5962,2021-12-31,True,heico
WSO.B|WSO,WSO.B,WSO,0.014476267778930723,-3.778514964455375,6.115537401409593,8064,2021-12-31,True,watsco
GEF|GEF.B,GEF,GEF.B,0.4242784529106368,-2.2001649478788288,14.49686502165649,4592,2021-12-31,True,greif
