pair_id,ticker_y,ticker_x,pvalue,tstat,discovery_half_life,n_is_bars,is_end,eligible
1398.HK|0939.HK,1398.HK,0939.HK,2.0412355120257003e-05,-5.471811065009193,23.401148860894892,3746,2021-12-31,True
1288.HK|1398.HK,1288.HK,1398.HK,0.00036034427758975887,-4.81137487010409,28.86534001972806,2830,2021-12-31,True
1288.HK|0939.HK,1288.HK,0939.HK,0.0015817174377553663,-4.43180242333285,21.391524155700434,2830,2021-12-31,True
1288.HK|3328.HK,1288.HK,3328.HK,0.00402936748567802,-4.171371565389072,33.46994811423118,2830,2021-12-31,True
3328.HK|3988.HK,3328.HK,3988.HK,0.014252932459421207,-3.783614868482785,25.909992757125284,3851,2021-12-31,True
3328.HK|1398.HK,3328.HK,1398.HK,0.031316365573541886,-3.5123478463759015,32.74459388253677,3746,2021-12-31,True
3328.HK|0939.HK,3328.HK,0939.HK,0.033450587142963784,-3.4882579546827768,30.59378513658596,3995,2021-12-31,True
0939.HK|3988.HK,0939.HK,3988.HK,0.03575965673842863,-3.463618973437874,37.222730648814995,3851,2021-12-31,True
8306.T|8316.T,8306.T,8316.T,0.04827745576678401,-3.3494982067162797,25.302011825764883,4016,2021-12-31,True
