pair_id,ticker_y,ticker_x,pvalue,tstat,discovery_half_life,n_is_bars,is_end,eligible,pool,rank
SAN.MC|SAB.MC,SAN.MC,SAB.MC,0.003924757330212977,-4.178965166014679,54.26307010965298,5653,2021-12-31,True,MC.es_banks,1
SRG.MI|TRN.MI,SRG.MI,TRN.MI,0.0043548401854923225,-4.1488478276009655,29.825194660218937,4460,2021-12-31,True,MI.it_regulated_utilities,2
BPE.MI|UCG.MI,BPE.MI,UCG.MI,0.010412964582586724,-3.8846756588824682,20.98186440962722,5627,2021-12-31,True,MI.it_banks,3
ASML.AS|ASM.AS,ASML.AS,ASM.AS,0.015304956216098327,-3.7601790062237757,36.40460410710748,5921,2021-12-31,True,AS.nl_semis,4
ASML.AS|BESI.AS,ASML.AS,BESI.AS,0.016830216135897382,-3.7286033610862117,26.951141016287185,6043,2021-12-31,True,AS.nl_semis,5
BBVA.MC|SAB.MC,BBVA.MC,SAB.MC,0.02001019529438597,-3.67011804957153,51.560392271183495,5653,2021-12-31,True,MC.es_banks,6
