pair_id,ticker_y,ticker_x,pvalue,tstat,discovery_half_life,n_is_bars,is_end,eligible,pool,rank
CCI|AMT,CCI,AMT,9.162638304866153e-08,-6.5602688470631385,21.325609100604975,5883,2021-12-31,True,towers,1
SBAC|CCI,SBAC,CCI,0.0011625779878899254,-4.513726137548148,41.80327964351622,5675,2021-12-31,True,towers,2
SBRA|VTR,SBRA,VTR,0.004036878678140612,-4.170833298195303,48.013945339473274,4975,2021-12-31,True,healthcare,3
NNN|O,NNN,O,0.007722119401490957,-3.9778044565024575,20.45301309619156,6851,2021-12-31,True,net_lease,4
NNN|WPC,NNN,WPC,0.008813543127104983,-3.936976520877618,19.947843560314457,6028,2021-12-31,True,net_lease,5
PLD|TRNO,PLD,TRNO,0.011857120338269193,-3.843292072328154,21.559842594080845,2995,2021-12-31,True,industrial,6
