pair_id,ticker_y,ticker_x,pvalue,tstat,discovery_half_life,n_is_bars,is_end,eligible,pool
CCI|AMT,CCI,AMT,3.08365173381359e-08,-6.764518334291901,21.38001463633442,5883,2021-12-31,True,towers
SBAC|AMT,SBAC,AMT,0.010298221889946491,-3.8881793802105022,43.16375259540392,5675,2021-12-31,True,towers
SBAC|CCI,SBAC,CCI,0.0025744164230274507,-4.298481295765758,41.63994696256276,5675,2021-12-31,True,towers
PSA|EXR,PSA,EXR,0.032328202121749375,-3.500758569165792,13.250808840532477,4377,2021-12-31,True,self_storage
PSA|CUBE,PSA,CUBE,0.20970232635016117,-2.6722910549008754,17.940856732457796,4329,2021-12-31,True,self_storage
NSA|PSA,NSA,PSA,,,,0,2021-12-31,False,self_storage
EXR|CUBE,EXR,CUBE,0.4231647884872986,-2.202325180348683,17.55917104943533,4329,2021-12-31,True,self_storage
EXR|NSA,EXR,NSA,,,,0,2021-12-31,False,self_storage
CUBE|NSA,CUBE,NSA,,,,0,2021-12-31,False,self_storage
O|NNN,O,NNN,0.0005201647685471564,-4.720278950580808,16.631952430380597,6851,2021-12-31,True,net_lease
O|ADC,O,ADC,0.31486514973324287,-2.4212339330302015,20.598562812517066,6851,2021-12-31,True,net_lease
O|WPC,O,WPC,0.09927125075067539,-3.0478208028949476,18.292947159406538,6028,2021-12-31,True,net_lease
O|EPRT,O,EPRT,0.2658936910974187,-2.530249102077378,11.425900928129021,890,2021-12-31,True,net_lease
NNN|ADC,NNN,ADC,0.5179714603687541,-2.0203756751445976,22.087792437492404,6979,2021-12-31,True,net_lease
NNN|WPC,NNN,WPC,0.03994729099338589,-3.422167770522712,20.098416065943052,6028,2021-12-31,True,net_lease
NNN|EPRT,NNN,EPRT,0.6873144995727023,-1.677023759152938,19.35258828649356,890,2021-12-31,True,net_lease
WPC|ADC,WPC,ADC,0.508106195960161,-2.0392849523756067,26.300564131469606,6028,2021-12-31,True,net_lease
ADC|EPRT,ADC,EPRT,0.07753141725522472,-3.156374661188932,9.816893812575305,890,2021-12-31,True,net_lease
WPC|EPRT,WPC,EPRT,0.288024843368222,-2.479855639105369,11.369225768919193,890,2021-12-31,True,net_lease
FR|PLD,FR,PLD,0.6973118836065553,-1.6545819220448592,26.788418022340256,6067,2021-12-31,True,industrial
EGP|PLD,EGP,PLD,0.4695701622608007,-2.1130067258236687,24.0554264057863,6067,2021-12-31,True,industrial
STAG|PLD,STAG,PLD,0.18588296402500004,-2.738951687287582,37.926889184057764,2697,2021-12-31,True,industrial
PLD|TRNO,PLD,TRNO,0.008323180385602001,-3.9547226439693084,21.285392522035732,2995,2021-12-31,True,industrial
FR|EGP,FR,EGP,0.6779801515482131,-1.6976440094616747,29.984099229866583,6931,2021-12-31,True,industrial
FR|STAG,FR,STAG,0.06862766653501452,-3.207832632872489,26.22628309315558,2697,2021-12-31,True,industrial
TRNO|FR,TRNO,FR,0.0870904580760754,-3.10606848758788,37.739356634425654,2995,2021-12-31,True,industrial
STAG|EGP,STAG,EGP,0.5435798786915799,-1.9710694395795647,25.892742290554697,2697,2021-12-31,True,industrial
