ticker
AAPL
ABT
ADBE
AIG
AMAT
AMD
AMGN
AMZN
APA
AXP
BA
BAC
BAX
BBY
BIIB
BKNG
BMY
C
CAT
CL
CLF
CMCSA
COF
COP
CSCO
CVS
CVX
DD
DE
DIS
DVN
EBAY
EOG
F
FCX
FDX
FLR
FSLR
GE
GILD
GLW
GOOGL
GS
HAL
HD
HON
HPQ
IBM
INTC
JNJ
JPM
KO
KR
LLY
LOW
MA
MCD
MDT
MET
MMM
MRK
MS
MSFT
MSI
MU
NEM
NKE
NOV
NTAP
NVDA
ORCL
OXY
PEP
PFE
PG
PM
QCOM
ROST
RRC
SBUX
SCHW
SLB
STT
T
TGT
TJX
TRV
TXN
UNH
UNP
UPS
USB
V
VZ
WFC
WMT
XOM
